'ai'zi'bing'fang'zhi'tiao'li 艾滋病防治条例
'qian'ti'tiao'jian 前提条件
'qian'tiao 欠条
'qian'tuo 欠妥
'qian'tuo'zhi'chu 欠妥之处
'qian'xi 欠息
'qian'xi'zi'you 迁徙自由
'qiang'duo'zui 抢夺罪
'qiang'gou 抢购
'qiang'hua'shui'shou'zheng'guan 强化税收征管
'qiang'jian 强奸
'qiang'jie 抢劫
'qiang'po'hun'yin 强迫婚姻
'qiang'po'zhong'cai 强迫仲裁
'qiang'zhi 强制
'qiang'zhi'bao'xian 强制保险
'qiang'zhi'bian'mai'bei'kou'ya'chuan'bo 强制变卖被扣押船舶
'qiang'zhi'cuo'shi 强制措施
'qiang'zhi'guan'li'fa 枪支管理法
'qiang'zhi'jiao'fu'ling'zhuang 强制交付令状
'qiang'zhi'li 强制力
'qiang'zhi'lv'xing 强制履行
'qiang'zhi'xing'jin'zhi'ling 强制性禁制令
'qiang'zhi'xu'ke 强制许可
'qiang'zhi'zhi'xing 强制执行
'qiang'zhi'zhi'xing'cuo'shi 强制执行措施
'qiao'wei'yin'su 翘尾因素
'qiao'wu'ban'gong'shi 侨务办公室
'qiao'zha'le'suo'zui 敲诈勒索罪
'qie'yi'dao 切一刀
'qin'fan 侵犯
'qin'fan'cai'chan'zui 侵犯财产罪
'qin'fan'quan'li 侵犯权利
'qin'hai 侵害
'qin'quan 亲权
'qin'quan 侵权
'qin'quan'ren 侵权人
'qin'quan'su'song 侵权诉讼
'qin'quan'xing'wei 侵权行为
'qin'quan'xing'wei'zhi'zhai 侵权行为之债
'qin'ru 侵入
'qin'sheng'fu'mu 亲生父母
'qin'sheng'fu'qin'huo'mu'qin 亲生父亲或母亲
'qin'sheng'zi'nv 亲生子女
'qin'shu'quan 亲属权
'qin'tun'gong'kuan 侵吞公款
'qin'zhan'xing'wei 侵占行为
'qing'chan'he'zi'ling'dao'xiao'zu 清产核资领导小组
'qing'chang 清偿
'qing'dao'qu'guan'li'zan'xing'gui'ding 倾倒区管理暂行规定
'qing'gong'ye'ju 轻工业局
'qing'gong'zong'hui 轻工总会
'qing'hua'na 氰化钠
'qing'jie 情节
'qing'jie'sheng'chan'cu'jin'fa 清洁生产促进法
'qing'jie'sheng'chan'shen'he'zan'xing'ban'fa 清洁生产审核暂行办法
'qing'li'san'jiao'zhai'dao'xiao'zu 清理三角债导小组
'qing'li'shou'hui'dai'kuan 清理收回贷款
'qing'li'zheng'dun'gong'si'ling'dao'xiao'zu 清理整顿公司领导小组
'qing'mei'su 青霉素
'qing'pan 轻判
'qing'qiu 请求
'qing'qiu'qing'pan 请求轻判
'qing'qiu'quan 请求权
'qing'shao'nian'zui'fan 青少年罪犯
'qing'shi 请示
'qing'shi'bao'gao 请示报告
'qing'shi'bian'geng'yuan'ze 情事变更原则
'qing'shuai'cheng'nuo 轻率承诺
'qing'suan'gong'si 清算公司
'qing'wei'fan'zui 轻微犯罪
'qing'wei'que'xian 轻微缺陷
'qing'wei'wei'yue'xing'wei 轻微违约行为
'qing'xiang'xing 倾向性
'qing'xiang'xing'de 倾向性的
'qing'xiao 倾销
'qing'xie'zheng'ce 倾斜政策
'qing'yu'pi'fu 请予批复
'qu'bao'hou'shen 取保候审
'qu'bao'hou'shen 取保后审
'qu'bie'dui'dai 区别对待
'qu'de 取得
'qu'de'bu'chang'de'quan'li 取得补偿的权利
'qu'de'shi'xiao 取得时效
'qu'de'wu'zhi'bang'zhu'quan 取得物质帮助权
'qu'shi'jia'qiang 趋势加强
'qu'xian'jian'cha'yuan 区县检察院
'qu'xiao'da'lv'shi'zi'ge 取消大律师资格
'qu'xiao'lv'shi'zi'ge 取消律师资格
'qu'yu'jing'ji 区域经济
'qu'zheng 取证
'quan'feng'tu'di 圈封土地
'quan'guo'bo'shi'hou'guan'li'wei'yuan'hui 全国博士后管理委员会
'quan'guo'da'ji'zou'si'ling'dao'xiao'zu 全国打击走私领导小组
'quan'guo'dian'zi'jiao'yi'xi'tong 全国电子交易系统
'quan'guo'fu'nv'lian'he'hui 全国妇女联合会
'quan'guo'gong'xiao'he'zuo'zong'she 全国供销合作总社
'quan'guo'jiao'yu'gong'hui 全国教育工会
'quan'guo'jin'du'gong'zuo'ling'dao'xiao'zu 全国禁毒工作领导小组
'quan'guo'jing'ji'pu'cha'tiao'li 全国经济普查条例
'quan'guo'lao'ling'wei 全国老龄委
'quan'guo'lv'hua'wei'yuan'hui 全国绿化委员会
'quan'guo'nong'ye'pu'cha'tiao'li 全国农业普查条例
'quan'guo'ren'da 全国人大
'quan'guo'ren'da'chang'wei'hui 全国人大常委会
'quan'guo'ren'min'dai'biao'da'hui 全国人民代表大会
'quan'guo'wu'ran'yuan'pu'cha'tiao'li 全国污染源普查条例
'quan'guo'yi'yuan'gong'zuo'tiao'li 全国医院工作条例
'quan'li'ben'wei 权利本位
'quan'li'de'bao'hu 权利的保护
'quan'li'he'li'yi 权利和利益
'quan'li'ren 权利人
'quan'li'wen'jian 权利文件
'quan'li'yi'nei 权力以内
'quan'li'yi'wai 权利以外
'quan'li'yi'wu 权利义务
'quan'li'yi'wu'xiang'yi'zhi'de'jing'shen 权利义务相一致的精神
'quan'li'zhu'ti 权利主体
'quan'mian'tan'bao'mei'gu'ying'li 全面摊薄每股盈利
'quan'mian'zhong'cai 全面仲裁
'quan'min'suo'you'qi'ye 全民所有企业
'quan'qiu'hua 全球化
'quan'qiu'qi'huo'jiao'yi'xi'tong 全球期货交易系统
'quan'quan'dai'li 全权代理
'quan'quan'dai'li'wei'tuo'shu 全权代理委托书
'quan'xian 权限
'quan'xian'wen'jian 权限文件
'quan'yi'hui'bao'lv 权益回报率
'quan'zi'fu'shu'gong'si 全资附属公司
'que'ding 确定
'que'ding'shu'e 确定数额
'que'fa'hou'jin 缺乏后劲
'que'fa'ke'jie'shou'de'yi'ju 缺乏可接受的依据
'que'quan'jiu'fen'an'jian 确权纠纷案件
'que'quan'jue'ding'an'jian 确权决定案件
'que'quan'zhi'su 确权之诉
'que'ren 确认
'que'xi 缺席
'que'xi'pan'jue 缺席判决
'que'xian 缺陷
'qun'zhong 群众
'rang'yu 让与
'rang'yu'dan'bao 让与担保
'rao'gui'mo'dai'kuan 绕规模贷款
'rao'luan'ban'gong'zhi'xu 扰乱办公秩序
'rao'luan'gong'an'chang'suo'zhi'xu'zui 扰乱公安场所秩序罪
'rao'luan'gong'gong'zhi'xu 扰乱公共秩序
'rao'luan'she'hui'zhi'xu'zui 扰乱社会秩序罪
'ren'da'cai'zheng'jing'ji'wei'yuan'hui 人大财政经济委员会
'ren'da'fa'zhi'wei'yuan'hui 人大法制委员会
'ren'da'hua'qiao'wei'yuan'hui 人大华侨委员会
'ren'da'jiao'yu 人大教育
'ren'da'min'zu'wei'yuan'hui 人大民族委员会
'ren'da'wai'shi'wei'yuan'hui 人大外事委员会
'ren'dao'li'you 人道理由
'ren'ding 认定
'ren'ding'cai'chan'wu'zhu'an'jian 认定财产无主案件
'ren'ding'gong'min'wu'min'shi'xing'wei 认定公民无民事行为
'ren'ding'shi'shi 认定事实
'ren'fang'wei'yuan'hui 人防委员会
'ren'ge'quan 人格权
'ren'gou'gu'fen 认购股份
'ren'jiao'zi'ben 认缴资本
'ren'jun'guo'nei'sheng'chan'zong'zhi 人均国内生产总值
'ren'jun'shou'ru 人均收入
'ren'ke 认可
'ren'kou'yu'ji'hua'sheng'yu'fa 人口与计划生育法
'ren'lei'jing'zi'ku 人类精子库
'ren'li'ban'yun'an'quan 人力搬运安全
'ren'min 人民
'ren'min'bao'xian'gong'si 人民保险公司
'ren'min'bi'guan'li'tiao'li 人民币管理条例
'ren'min'bi'sheng'zhi'ya'li 人民币升值压力
'ren'min'da'xue 人民大学
'ren'min'dai'biao'da'hui'zhi 人民代表大会制
'ren'min'dai'biao'da'hui'zhu'xi'tuan 人民代表大会主席团
'ren'min'fa'ting 人民法庭
'ren'min'fa'ting'shu'ji'yuan 人民法庭书记员
'ren'min'fa'yuan 人民法院
'ren'min'fa'yuan'zu'zhi'fa 人民法院组织法
'ren'min'fa'zhi 人民法制
'ren'min'fang'kong'fa 人民防空法
'ren'min'gong'she 人民公社
'ren'min'jian'cha'yuan 人民检察院
'ren'min'jian'cha'yuan 人民检察员
'ren'min'jian'cha'yuan'zu'zhi'fa 人民检察院组织法
'ren'min'jian'she'yin'hang 人民建设银行
'ren'min'jie'fang'jun'cai'wu'bu 人民解放军财务部
'ren'min'jie'fang'jun'jun'shi'fa'yuan 人民解放军军事法院
'ren'min'jie'fang'jun'tu'di'guan'li'ju 人民解放军土地管理局
'ren'min'jie'fang'jun'zong'can'mou'bu 人民解放军总参谋部
'ren'min'jie'fang'jun'zong'hou'qin'bu 人民解放军总后勤部
'ren'min'jie'fang'jun'zong'zheng'zhi'bu 人民解放军总政治部
'ren'min'jie'fang'jun'zong'zhuang'bei'bu 人民解放军总装备部
'ren'min'min'zhu'zhuan'zheng 人民民主专政
'ren'min'pei'shen'yuan 人民陪审员
'ren'min'tiao'jie'wei'yuan'hui 人民调解委员会
'ren'min'yin'hang 人民银行
'ren'min'zheng'zhi'xie'shang'hui'yi 人民政治协商会议
'ren'qin'liu'gan'zhen'liao'fang'an 人禽流感诊疗方案
'ren'quan 人权
'ren'quan'fa'an 人权法案
'ren'quan'si'xiang 人权思想
'ren'shen 人身
'ren'shen 人参
'ren'shen'bao'hu'ling 人身保护令
'ren'shen'bao'hu'ling'zhuang 人身保护令状
'ren'shen'bao'xian 人身保险
'ren'shen'bu'de'qin'fan'quan 人身不得侵犯权
'ren'shen'jian'hu'ren 人身监护人
'ren'shen'quan'li 人身权利
'ren'shen'shang'hai 人身伤害
'ren'shen'shou'dao'gong'ji 人身受到攻击
'ren'shen'sun'hai 人身损害
'ren'shen'sun'shi 人身损失
'ren'shen'zi'you 人身自由
'ren'shi'bu 人事部
'ren'shi'ju 人事局
'ren'shou'bao'xian 人寿保险
'ren'shou'bao'xian'dan 人寿保险单
'ren'ti'qi'guan 人体器官
'ren'ti'qi'guan'yi'zhi'tiao'li 人体器官移植条例
'ren'ti'qi'guan'yi'zhi'wei'yuan'hui 人体器官移植委员会
'ren'ti'qing'shang'jian'ding'biao'zhun 人体轻伤鉴定标准
'ren'ti'qing'wei'shang'jian'ding'biao'zhun 人体轻微伤鉴定标准
'ren'ti'zhong'shang'jian'ding'biao'zhun 人体重伤鉴定标准
'ren'tou'shui 人头税
'ren'wei 认为
'ren'yi'gong'ji'jin 任意公积金
'ren'yi'ji'zai'shi'xiang 任意记载事项
'ren'yi'quan 人役权
'ren'yi'zhi'zhai 任意之债
'ren'yuan'bian'zhi 人员编制
'ren'zheng'pei'xun'ji'gou'guan'li'ban'fa 认证培训机构管理办法
'ren'zheng'zi'xun'ji'gou'guan'li'ban'fa 认证咨询机构管理办法
'ren'zhi 人质
'ren'zhong'ben'yuan 人种本源
'ren'zui 认罪
'reng'wei'liao'jie 仍未了结
'ri'er'man'fa 日尔曼法
'ri'nei'wa'gong'yue 日内瓦公约
'rong'yu'quan 荣誉权
'rong'zi'rong'quan'he'tong'bi'bei'tiao'kuan 融资融券合同必备条款
'ru'gu'jin 入股金
'ru'huo 入伙
'ru'jing 入境
'ru'jing'zhe 入境者
'ru'jing'zheng 入境证
'ru'zui 入罪
'ruan'dai'kuan 软贷款
'ruan'jian'chan'pin'guan'li'ban'fa 软件产品管理办法
'ruan'yu'suan'yue'shu 软预算约束
'ruan'zhuo'lu 软着陆
'san'chan 三产
'san'gao'nong'ye 三高农业
'san'ge'dai'biao 三个代表
'san'jiao'zhai 三角债
'san'lai'yi'bu'qi'ye 三来一补企业
'san'xia'gong'cheng'jian'she'wei'yuan'hui 三峡工程建设委员会
'sang'shi 丧事
'sao'huang'gong'zuo'xiao'zu'ban'gong'shi 扫黄工作小组办公室
'sao'mang'gong'zuo'bu'ji'xie'tiao'xiao'zu 扫盲工作部际协调小组
'sen'lin'fa'shi'shi'tiao'li 森林法实施条例
'sen'lin'fa'yuan 森林法院
'sen'lin'fang'huo'tiao'li 森林防火条例
'shan'dong'wen'jian 煽动文件
'shan'yang 赡养
'shan'yang'fei 赡养费
'shan'yi'zhan'you 善意占有
'shan'zheng'lian'zheng 善政廉政
'shan'zi 擅自
'shang'biao 商标
'shang'biao'dai'li 商标代理
'shang'biao'fa 商标法
'shang'biao'fa'shi'shi'xi'ze 商标法实施细则
'shang'biao'gong'gao 商标公告
'shang'biao'guo'ji'zhu'ce 商标国际注册
'shang'biao'ju 商标局
'shang'biao'ping'shen'wei'yuan'hui 商标评审委员会
'shang'biao'qin'quan 商标侵权
'shang'biao'quan 商标权
'shang'biao'shen'cha 商标审查
'shang'biao'shi'wu'suo 商标事务所
'shang'biao'shi'yong'xu'ke'he'tong 商标使用许可合同
'shang'biao'shi'yong'xu'ke'xie'yi 商标使用许可协议
'shang'biao'yin'zhi'guan'li'ban'fa 商标印制管理办法
'shang'biao'zhu'ce 商标注册
'shang'can'fu'xu'guan'li'ban'fa 伤残抚恤管理办法
'shang'ceng'jia'gou 上层架构
'shang'fa 商法
'shang'fang 上访
'shang'hai'zheng'quan'jiao'yi'suo 上海证券交易所
'shang'hai'zui 伤害罪
'shang'jian'ju 商检局
'shang'ke'ling 上课令
'shang'pin'fang'xiao'shou'guan'li'ban'fa 商品房销售管理办法
'shang'pin'jian'yan 商品检验
'shang'pin'shang'biao 商品商标
'shang'pin'tiao'ma'guan'li'ban'fa 商品条码管理办法
'shang'shi 上市
'shang'shi'fa'lv 商事法律
'shang'shi'gong'si 上市公司
'shang'shi'gong'si'shou'gou'guan'li'ban'fa 上市公司收购管理办法
'shang'shi'gu'fen 上市股份
'shang'shi'zheng'quan 上市证券
'shang'shu 上述
'shang'su 上诉
'shang'su'an'jian'ling'xun'biao 上诉案件聆讯表
'shang'su'bei'che'hui 上诉被撤回
'shang'su'bo'hui 上诉驳回
'shang'su'dang'shi'ren 上诉当事人
'shang'su'de'quan'li 上诉的权利
'shang'su'de'su'ke 上诉的诉可
'shang'su'deng'ji'ce 上诉登记册
'shang'su'dong'yi'tong'zhi'shu 上诉动议通知书
'shang'su'fa'ting 上诉法庭
'shang'su'fa'ting'fa'guan 上诉法庭法官
'shang'su'fa'ting'ting'zhang 上诉法庭庭长
'shang'su'huo'de'jie'jue 上诉获得解决
'shang'su'li'you 上诉理由
'shang'su'quan 上诉权
'shang'su'ren 上诉人
'shang'su'shen'cai'chu 上诉审裁处
'shang'su'si'fa'guan'xia'quan 上诉司法管辖权
'shang'su'tong'zhi 上诉通知
'shang'su'tong'zhi'shu 上诉通知书
'shang'su'wei'yuan'hui 上诉委员会
'shang'su'xu'ke'shen'qing'shu 上诉许可申请书
'shang'su'yong'an'jian'cheng'shu'de'fang'shi 上诉用案件呈述的方式
'shang'su'zhai'yao 上诉摘要
'shang'su'zhuang 上诉状
'shang'ye'bao'xian 商业保险
'shang'ye'dai'kuan 商业贷款
'shang'ye'piao'ju 商业票据
'shang'ye'qi'ye 商业企业
'shang'ye'te'xu'jing'ying'guan'li'ban'fa 商业特许经营管理办法
'shang'ye'te'xu'jing'ying'guan'li'tiao'li 商业特许经营管理条例
'shang'ye'yin'hang'fa 商业银行法
'shang'ye'yin'hang'jin'rong'chuang'xin'zhi'yin 商业银行金融创新指引
'shang'ye'zhong'cai'hui 商业仲裁会
'shang'yong'mi'ma'ke'yan'guan'li'gui'ding 商用密码科研管理规定
'shang'yu 商誉
'shang'zai'qi'mu'fu'zhong'de'zi'nv 尚在其母腹中的子女
'shao'guan'suo 少管所
'shao'nian 少年
'shao'nian'fa'ting 少年法庭
'shao'nian'fan'guan'jiao'suo 少年犯管教所
'shao'nian'fan'ren 少年犯人
'shao'nian'ren 少年人
'shao'nian'zui'fan 少年罪犯
'shao'shu'quan'yi 少数权益
'she'bei'li'yong 设备利用
'she'hui'bao'xian 社会保险
'she'hui'bao'xian'fei'zheng'jiao'zan'xing'tiao'li 社会保险费征缴暂行条例
'she'hui'bao'zhang 社会保障
'she'hui'bao'zhang'zhi'du 社会保障制度
'she'hui'ben'wei 社会本位
'she'hui'fa'xue'pai 社会法学派
'she'hui'fu'li'fa 社会福利法
'she'hui'gong'de 社会公德
'she'hui'gong'zuo'zhe'xie'hui 社会工作者协会
'she'hui'he'jing'ji'li'yi 社会和经济利益
'she'hui'jing'ji'quan'li 社会经济权利
'she'hui'ke'xue'yuan 社会科学院
'she'hui'tuan'ti'deng'ji'guan'li'tiao'li 社会团体登记管理条例
'she'hui'zhi'an 社会治安
'she'hui'zhi'an'zong'he'zhi'li 社会治安综合治理
'she'hui'zhu'yi'gong'you'zhi 社会主义公有制
'she'hui'zhu'yi'qi'ye 社会主义企业
'she'mian 赦免
'she'tuan'fa'ren 社团法人
'she'wai'an'jian 涉外案件
'she'wai'diao'cha'guan'li'ban'fa 涉外调查管理办法
'she'wai'hai'shi'su'song'guan'xia'quan 涉外海事诉讼管辖权
'she'wai'hun'yin 涉外婚姻
'she'wai'jing'ji 涉外经济
'she'wai'lv'shi 涉外律师
'she'wai'min'shi'guan'xi 涉外民事关系
'she'wai'min'shi'su'song 涉外民事诉讼
'she'wai'shou'yang 涉外收养
'she'wai'xing'shi'su'song 涉外刑事诉讼
'shen'cai'wei'yuan'xiao'zu 审裁委员小组
'shen'cai'xiao'zu 审裁小组
'shen'ceng'ci'mao'dun 深层次矛盾
'shen'cha 审查
'shen'cha'an'jian 审查案件
'shen'cha'bing'jue'ding'dai'bu 审查并决定逮捕
'shen'cha'ji'guan 审查机关
'shen'cha'qi'su'jie'duan 审查起诉阶段
'shen'cha'yuan 审察员
'shen'fen'quan 身份权
'shen'fen'shi'bie'wen'jian 身份识别文件
'shen'fen'zheng 身份证
'shen'fen'zheng'ming'wen'jian 身份证明文件
'shen'ji 审级
'shen'ji'fa 审计法
'shen'ji'ji'guan 审计机关
'shen'ji'shu 审计署
'shen'ji'zhi'du 审计制度
'shen'jie'shi'jian 审结时间
'shen'ju'fu'mu'di'wei 身居父母地位
'shen'li 审理
'shen'li'an'jian 审理案件
'shen'li'jie'duan 审理阶段
'shen'li'shang'su 审理上诉
'shen'li'su'an 审理诉案
'shen'li'tong'zhi'shu 审理通知书
'shen'pan 审判
'shen'pan'cheng'xu 审判程序
'shen'pan'guan'xia 审判管辖
'shen'pan'ji'guan 审判机关
'shen'pan'jian'du 审判监督
'shen'pan'jian'du'cheng'xu 审判监督程序
'shen'pan'jiao'yu 审判教育
'shen'pan'jie'duan 审判阶段
'shen'pan'quan 审判权
'shen'pan'shi'jian 审判实践
'shen'pan'ting 审判庭
'shen'pan'wei'yuan'hui 审判委员会
'shen'pan'wei'yuan'hui'shen'pan'yuan 审判委员会审判员
'shen'pan'wei'yuan'hui'shen'pan'zhang 审判委员会审判长
'shen'pan'wei'yuan'hui'zhu'li'shen'pan'yuan 审判委员会助理审判员
'shen'pan'yuan 审判员
'shen'pan'zhang 审判长
'shen'pan'zhang'xuan'bu'kai'ting 审判长宣布开庭
'shen'pan'zu'zhi 审判组织
'shen'pi'guo'jia'yu'suan 审批国家预算
'shen'pi'jin'rong'ji'gou 审批金融机构
'shen'qing 申请
'shen'qing'bu'huo'pi'zhun 申请不获批准
'shen'qing'fu'yi 申请复议
'shen'qing'ren 申请人
'shen'qing'shu 申请书
'shen'qing'xuan'shi'shu 申请宣誓书
'shen'qing'zai'xian'yuan'ze 申请在先原则
'shen'qing'zhi'xing'ren 申请执行人
'shen'shen'jian'guan 审慎监管
'shen'shi'zhi'du 神示制度
'shen'shou'li'fei 审受理费
'shen'su 申诉
'shen'su'an'jian 申诉案件
'shen'su'cai'jue'shu'zi'hao 申诉裁决书字号
'shen'su'gao'su'ting 申诉告诉庭
'shen'su'quan 申诉权
'shen'su'ren 申诉人
'shen'su'shu 申诉书
'shen'su'ting 申诉庭
'shen'suo 申索
'shen'suo'an'jian 申索案件
'shen'wen'shi'su'song 审问式诉讼
'shen'xun 审讯
'shen'yi 审议
'shen'zhen'zheng'quan'jiao'yi'suo 深圳证券交易所
'sheng'chan'ban'gong'shi 生产办公室
'sheng'chan'da'dui 生产大队
'sheng'chan'guo 生产国
'sheng'chan'min'shi'fa'lv'xing'wei 生产民事法律行为
'sheng'chan'neng'li'xian'zhi 生产能力闲置
'sheng'chan'shu'ju 生产数据
'sheng'chan'shu'ju'suo'you'zhi 生产数据所有制
'sheng'chan'xu'ke'zheng 生产许可证
'sheng'chan'zi'liao 生产资料
'sheng'huo'zhun'ze 生活准则
'sheng'huo'zi'liao 生活资料
'sheng'huo'zi'zhu'fei 生活资助费
'sheng'ming'jian'kang'quan 生命健康权
'sheng'qian'min'shi'fa'lv'xing'wei 生前民事法律行为
'sheng'shi'zi'zhi'qu'jian'cha'yuan 省市自治区检察院
'sheng'su 胜诉
'sheng'su'fang 胜诉方
'sheng'su'yi'fang 胜诉一方
'sheng'xi'zi'chan 生息资产
'sheng'xia'shi 省辖市
'sheng'xiao 生效
'sheng'xiao'de'pan'jue 生效的判决
'sheng'xiao'pan'jue'cai'ding 生效判决裁定
'sheng'xiao'ri'qi 生效日期
'sheng'xiao'shi'shi 生效实施
'shi'bie 识别
'shi'chang'bo'fu 市场波幅
'shi'chang'can'yu'zhe 市场参与者
'shi'chang'cong'ye'yuan 市场从业员
'shi'chang'ding'jia 市场定价
'shi'chang'fen'e 市场份额
'shi'chang'fen'ge 市场分割
'shi'chang'feng'xian 市场风险
'shi'chang'jing'ji 市场经济
'shi'chang'qi'fen 市场气氛
'shi'chang'tiao'jie'de'fu'zhu'zuo'yong 市场调节的辅助作用
'shi'chang'zhan'you'lv 市场占有率
'shi'chang'zhun'ru 市场准入
'shi'dang'ren'xuan 适当人选
'shi'dang'zhu'guan'dang'ju 适当主管当局
'shi'di'san'zhe'zao'cheng'de 是第三者造成的
'shi'du'cong'jin 适度从紧
'shi'fang 释放
'shi'fang'qi'qiu'guan'li'ban'fa 施放气球管理办法
'shi'gong'xu'ke'zheng 施工许可证
'shi'he'li'he'fa'de 是合理合法的
'shi'ji'li'yong'wai'zi 实际利用外资
'shi'ji'lv'xing 实际履行
'shi'ji'lv'xing'ling 实际履行令
'shi'ji'lv'xing'yuan'ze 实际履行原则
'shi'ji'wen'ti 实际问题
'shi'ji'you'xiao'hui'lv 实际有效汇率
'shi'jia'zong'zhi 市价总值
'shi'jian'xing'min'shi'fa'lv'xing'wei 实践性民事法律行为
'shi'jiao'zi'ben 实缴资本
'shi'jie'mao'yi'zu'zhi'xie'yi 世界贸易组织协议
'shi'jie'ren'quan'xuan'yan 世界人权宣言
'shi'jie'zhi'shi'chan'quan'zu'zhi 世界知识产权组织
'shi'min'fa 市民法
'shi'pin'gong'ye'xie'hui 食品工业协会
'shi'pin'wei'sheng'fa 食品卫生法
'shi'pin'zhao'hui'guan'li'gui'ding 食品召回管理规定
'shi'qu 市区
'shi'qu'shi'xiao 失去时效
'shi'qu'shi'xiao'de 失去时效的
'shi'shi 实施
'shi'shi 实时
'shi'shi'chen'shu 失实陈述
'shi'shi'he'li'de'guan'zhu 实施合理的关注
'shi'shi'hun 事实婚
'shi'shi'hun'yin 事实婚姻
'shi'shi'hun'yin'de'nan'nv 事实婚姻的男女
'shi'shi'qiu'shi 实事求是
'shi'shi'shang'de'cai'chan'chu'fen 事实上的财产处分
'shi'shi'shi'ran 事实使然
'shi'shi'tiao'jie 适时调节
'shi'shi'xi'ze 实施细则
'shi'shi'xiao 使失效
'shi'shou'zi'ben 实收资本
'shi'ti'fa 实体法
'shi'ti'fa'lv 实体法律
'shi'ti'jing'ji 实体经济
'shi'ti'zheng'ju 实体证据
'shi'ting'zheng'ju 视听证据
'shi'wu'chu'zi 实物出资
'shi'wu'xiao 使无效
'shi'wu'zheng'ju 实物证据
'shi'xi 世系
'shi'xi'da'lv'shi 实习大律师
'shi'xi'ji'cheng 世袭继承
'shi'xi'lv'shi 实习律师
'shi'xi'lv'shi'zheng 实习律师证
'shi'xian 时限
'shi'xian'li'run 实现利润
'shi'xiao 失效
'shi'xiao'yan'chang 时效延长
'shi'xiao'zhong'duan 时效中断
'shi'xiao'zhong'zhi 时效中止
'shi'xiao'zhong'zhi 时效终止
'shi'xing'de 施行的
'shi'xing'guo'min'dai'yu 实行国民待遇
'shi'xing'lv'xing'yuan'ze 实行履行原则
'shi'xue'xing'xiu'ke 失血性休克
'shi'yan'jia'ge'guan'li'ban'fa 食盐价格管理办法
'shi'ye'bao'xian 失业保险
'shi'ye'bao'xian'tiao'li 失业保险条例
'shi'yi 释义
'shi'yi'zheng'ju 示意证据
'shi'ying'lv 市盈率
'shi'yong 适用
'shi'yong'fa'lv 适用法律
'shi'yong'jun'jun'zhong'guan'li'ban'fa 食用菌菌种管理办法
'shi'yong'qi 试用期
'shi'yong'quan 使用权
'shi'yong'shou'yi'fen'xiang'quan 使用收益分享权
'shi'yong'wei'zao'huo'xu'jia'de'wen'jian 使用伪造或虚假的文件
'shi'yong'xin'xing 实用新型
'shi'yong'xing 适用性
'shi'yong'xing 实用性
'shi'yong'zai'xian 使用在先
'shi'yong'zhu'yi 实用主义
'shi'you'he'hua'xue'gong'ye'ju 石油和化学工业局
'shi'zai'zheng'ju 实在证据
'shi'zheng'fa 实证法
'shi'zheng'fa'xue'jia 实证法学家
'shi'zheng'gong'cheng 市政工程
'shi'zhi 市值
'shi'zhi'shen'cha'yuan'ze 实质审查原则
'shi'zhi'ti'zheng'ju 实质体证据
'shi'zhi'xing'jin'qian'sun'shi 实质性金钱损失
'shi'zhi'xing'sun'hai'pei'chang'jin 实质性损害赔偿金
'shi'zhi'xing'wei 失职行为
'shi'zong'xuan'gao 失踪宣告
'shi'zu'dai'jia 十足代价
'shi'zu'mi'chang 十足弥偿
'shi'zu'su'song'fei 十足诉讼费
'shi'zu'xiao'li 十足效力
'shi'zu'you'zhi'dai'jia 十足有值代价
'shou'ci'gong'kai'fa'xing'de'gu'piao 首次公开发行的股票
'shou'cuo 受挫
'shou'fei'gong'lu'guan'li'tiao'li 收费公路管理条例
'shou'fen'fa'lv'cheng'xu'wen'jian 首份法律程序文件
'shou'gong'yang'zi'nv 受供养子女
'shou'gong'ye'guan'li'ju 手工业管理局
'shou'gou 收购
'shou'gou'dan'wei 收购单位
'shou'gou'jian'bing 收购兼并
'shou'gou'tu'di 收购土地
'shou'hai'ren 受害人
'shou'hai'ren'de'jin'qin'shu 受害人的近亲属
'shou'hai'yi'fang 受害一方
'shou'hui 售汇
'shou'hui'dui'jin'rong'ji'gou'dai'kuan 收回对金融机构贷款
'shou'hui'quan 收回权
'shou'hui'tu'di 收回土地
'shou'hui'zhai'kuan'kou'ya'ling'zhuang 收回债款扣押令状
'shou'hui'zui 受贿罪
'shou'ji 收集
'shou'ji'ren 受寄人
'shou'jian'hu'de'wei'cheng'nian'zhe 受监护的未成年者
'shou'jin'ren 受禁人
'shou'kan'shou'de'bei'gao'ren 受看守的被告人
'shou'li 受理
'shou'li'an'jian 受理案件
'shou'li'shang'su'de'fa'yuan 受理上诉的法院
'shou'li'xing'shi'an'jian'shen'pi'biao 受理刑事案件审批表
'shou'li'yi'jian'an'jian 受理一件案件
'shou'ling 手令
'shou'ling'shang'de'pi'zhu 手令上的批注
'shou'pan'jia 收盘价
'shou'qu'fei'yong 收取费用
'shou'qu'ren'shi 受屈人士
'shou'qu'yi'ju'fu'hui'piao'de'fu'kuan 收取已拒付汇票的付款
'shou'quan 授权
'shou'quan'gui'fan 授权规范
'shou'quan'shu 授权书
'shou'quan'wei'tuo'shu 授权委托书
'shou'quan'wen'jian 授权文件
'shou'quan'xing'shi 授权行事
'shou'quan'xing'wei 授权行为
'shou'rang'fang 受让方
'shou'rang'ren 受让人
'shou'rang'ren'gong'si 受让人公司
'shou'rong'shen'cha 收容审查
